web-scraper-order,address_raw,lat,lon,id,brand,geometry,closest_sup_geom,distance
1662023742-809,"Breitenloostrasse 6, 8309 Nürensdorf, ZH",47.46484375,8.639374732971191,656346712,Volg,POINT (8.639374732971191 47.46484375),POINT (8.6397394 47.464202),81.37248135702997
1662023720-638,"Bahnhofstrasse 21, 8153 Rümlang, ZH",47.45305252075195,8.529627799987793,343050735,Volg,POINT (8.529627799987793 47.45305252075195),POINT (8.4986623 47.465912),3722.2966113370308
1662023749-851,"Ifangstrasse 71, 8153 Rümlang, ZH",47.44933319091797,8.537286758422852,482763774,ALDI,POINT (8.537286758422852 47.44933319091797),POINT (8.5390336 47.4137334),3919.4607071354494
1662023692-426,"8153 Rümlang, ZH",47.4487533569336,8.539965629577637,1052078781,ALDI,POINT (8.539965629577637 47.4487533569336),POINT (8.5568084 47.4193147),3739.7962630262446
1662023764-966,"Pfarrgasse 34, 8704 Herrliberg, ZH",47.28832244873047,8.61129093170166,2119357764,Volg,POINT (8.61129093170166 47.28832244873047),POINT (8.620059 47.281642),1220.6441786415558
1662023717-622,"8704 Herrliberg, ZH",47.28742218017578,8.617650032043457,2119357764,Volg,POINT (8.617650032043457 47.28742218017578),POINT (8.620059 47.281642),689.6171753745565
1662023730-698,"Etzelstrasse 13, 8634 Hombrechtikon, ZH",47.251243591308594,8.779790878295898,623872894,Volg,POINT (8.779790878295898 47.251243591308594),POINT (8.767989 47.25162),1312.9607565146805
1662023704-519,"Seestrasse 2, 8714 Feldbach, ZH",47.23947143554688,8.787821769714355,623872894,Volg,POINT (8.787821769714355 47.23947143554688),POINT (8.767989 47.25162),2577.9227097638855
1662023698-467,"Im Zentrum 8, 8634 Hombrechtikon, ZH",47.25228500366211,8.769309997558594,623872894,Volg,POINT (8.769309997558594 47.25228500366211),POINT (8.767989 47.25162),164.0638550995408
1662023733-726,"Heusserstrasse 7, 8634 Hombrechtikon, ZH",47.25457000732422,8.773594856262207,623872894,Volg,POINT (8.773594856262207 47.25457000732422),POINT (8.767989 47.25162),702.6061255823698
1662023736-752,"Eilweg 4, 8634 Hombrechtikon, ZH",47.24902725219727,8.772947311401367,623872894,Volg,POINT (8.772947311401367 47.24902725219727),POINT (8.767989 47.25162),620.61219676623
1662023749-853,"Feldbachstrasse 72, 8634 Hombrechtikon, ZH",47.24557876586914,8.77876091003418,623872894,Volg,POINT (8.77876091003418 47.24557876586914),POINT (8.767989 47.25162),1369.4660243785734
1662023689-389,"Fähnlibrunnenstrasse 5, 8700 Küsnacht ZH, ZH",47.320709228515625,8.579315185546875,75749133,ALDI,POINT (8.579315185546875 47.320709228515625),POINT (8.5306007 47.3409666),5856.9032279539715
1662023730-717,"Birkenweg 8, 8700 Küsnacht ZH, ZH",47.32272338867188,8.586901664733887,2119357764,Volg,POINT (8.586901664733887 47.32272338867188),POINT (8.620059 47.281642),5830.391318373111
1662023698-457,"Sonnenrain 10, 8700 Küsnacht ZH, ZH",47.323341369628906,8.602655410766602,2119357764,Volg,POINT (8.602655410766602 47.323341369628906),POINT (8.620059 47.281642),4976.191641522149
1662023686-368,"Vorbruggenstrasse 5, 8422 Pfungen, ZH",47.51858139038086,8.638360023498535,9624205242,Volg,POINT (8.638360023498535 47.51858139038086),POINT (8.618708999999999 47.5496452),4054.2764243212637
1662023749-854,"Rankstr. 14, 8413 Neftenbach, ZH",47.51865768432617,8.657525062561035,7229823378,Volg,POINT (8.657525062561035 47.51865768432617),POINT (8.6751059 47.4725056),5436.8976195583155
1662023701-495,"Hinterdorfstrasse 8, 8422 Pfungen, ZH",47.51422119140625,8.639961242675781,9624205242,Volg,POINT (8.639961242675781 47.51422119140625),POINT (8.618708999999999 47.5496452),4555.28604163251
1662023783-1124,"Vorbruggenstr. 20, 8422 Pfungen, ZH",47.5192756652832,8.639522552490234,9624205242,Volg,POINT (8.639522552490234 47.5192756652832),POINT (8.618708999999999 47.5496452),4062.421382792491
1662023813-1361,"Dättlikonerstrasse 16, 8422 Pfungen, ZH",47.51939010620117,8.6381196975708,9624205242,Volg,POINT (8.6381196975708 47.51939010620117),POINT (8.618708999999999 47.5496452),3965.066677598528
1662023795-1222,"Vorbruggenstr. 26, 8422 Pfungen, ZH",47.519439697265625,8.640228271484375,9624205242,Volg,POINT (8.640228271484375 47.519439697265625),POINT (8.618708999999999 47.5496452),4092.9869853831588
1662023689-398,"Niederdorfweg 4, 8488 Turbenthal, ZH",47.44387435913086,8.839629173278809,457357597,Volg,POINT (8.839629173278809 47.44387435913086),POINT (8.7992573 47.4439104),4489.14923450935
1662023686-382,"Hegi 6, 8197 Rafz, ZH",47.61203002929688,8.536371231079102,2463692270,Volg,POINT (8.536371231079102 47.61203002929688),POINT (8.5367084 47.6121765),40.804724543339624
1662023771-1021,"Baumschuelwäg 23, 8197 Rafz, ZH",47.606971740722656,8.543028831481934,2463692270,Volg,POINT (8.543028831481934 47.606971740722656),POINT (8.5367084 47.6121765),906.3580793701902
1662023689-400,"Baumschuelwäg 1, 8197 Rafz, ZH",47.60714340209961,8.543349266052246,2463692270,Volg,POINT (8.543349266052246 47.60714340209961),POINT (8.5367084 47.6121765),922.814357515291
1662023692-425,"Geissewinkel 1, 8197 Rafz, ZH",47.61446762084961,8.536229133605957,2463692270,Volg,POINT (8.536229133605957 47.61446762084961),POINT (8.5367084 47.6121765),257.51335445984716
1662023698-476,"Rheinfallstrasse 1, 8447 Dachsen, ZH",47.67106246948242,8.61297607421875,4733001119,Volg,POINT (8.61297607421875 47.67106246948242),POINT (8.6345019 47.6705659),2394.185095022424
1662023786-1143,"Rheinfallstrasse 1, 8447 Dachsen, ZH",47.67106246948242,8.61297607421875,4733001119,Volg,POINT (8.61297607421875 47.67106246948242),POINT (8.6345019 47.6705659),2394.185095022424
1662023758-920,"Feldeggstrasse 2, 8447 Dachsen, ZH",47.669620513916016,8.612405776977539,4733001119,Volg,POINT (8.612405776977539 47.669620513916016),POINT (8.6345019 47.6705659),2459.1740712523315
1662023789-1163,"Buechenstrasse 14, 8174 Stadel b. Niederglatt, ZH",47.53174209594727,8.465595245361328,293606027,Volg,POINT (8.465595245361328 47.53174209594727),POINT (8.4665709 47.5283007),393.73694756797374
1662023733-738,"Buechenstrasse 16, 8174 Stadel b. Niederglatt, ZH",47.53177261352539,8.465415000915527,293606027,Volg,POINT (8.465415000915527 47.53177261352539),POINT (8.4665709 47.5283007),402.9035614165599
1662023704-514,"Chofelstrasse 6, 8174 Stadel b. Niederglatt, ZH",47.52755737304688,8.465577125549316,293606027,Volg,POINT (8.465577125549316 47.52755737304688),POINT (8.4665709 47.5283007),137.45719267577343
1662023707-547,"Tannenheimweg 3, 8450 Andelfingen, ZH",47.59430313110352,8.676922798156738,2375333014,Volg,POINT (8.676922798156738 47.59430313110352),POINT (8.6795131 47.5949613),296.9755641884296
1662023755-906,"Tannenheimweg 5, 8450 Andelfingen, ZH",47.594337463378906,8.676440238952637,2375333014,Volg,POINT (8.676440238952637 47.594337463378906),POINT (8.6795131 47.5949613),348.4996529936589
1662023804-1274,"Reutlenring 32, 8302 Kloten, ZH",47.4468879699707,8.592916488647461,9846024879,ALDI,POINT (8.592916488647461 47.4468879699707),POINT (8.5827742 47.4489611),1150.5749770425161
1662023758-926,"Lochäckerstrasse 14, 8302 Kloten, ZH",47.44467926025391,8.590867042541504,9846024879,ALDI,POINT (8.590867042541504 47.44467926025391),POINT (8.5827742 47.4489611),1015.591005390419
